Fecha,Total,Cruceristas,Excursionista,Turista,Viajero,Turista + Excursionista,País: Guatemala,País: El Salvador,País: Estados Unidos de América
2015-04-01,271468.4999999886,20387.0,35858.83062935967,211702.67749225817,3519.991878370739,247561.50812161784,96791.00000215217,67152.99999788038,26476.5
2015-05-01,238063.29823437225,7658.0,42528.01317715628,183886.59454529147,3990.6905119245075,226414.60772244775,91021.99999955013,60865.00000219999,26109.79823269514
2015-06-01,252347.99999916193,1135.0,46600.609181366235,198782.07773564226,5830.313082153443,245382.68691700848,102864.99999832007,55969.000000939835,42019.0
2015-07-01,257181.99999890625,1005.0,49099.947431536835,203935.22970061796,3141.8228667514627,253035.1771321548,93995.00000045309,58017.99999841815,41191.5
2015-08-01,260587.50000028274,6688.0,46706.34764100813,198959.80777074333,8233.344588531298,245666.15541175145,85968.00000001494,79655.00000023178,28170.5
2015-09-01,209004.49999934426,0.0,36858.94929601831,169841.82150664565,2303.7291966803114,206700.77080266396,86392.99999816001,55196.00000125024,18439.0
2015-10-01,235017.99999686194,2579.0,34618.78751360032,193181.4913098451,4638.721173416501,227800.2788234454,95400.99999949198,59381.9999972759,24225.0
2015-11-01,252959.50000221597,5893.0,34640.67180746474,210543.33829275533,1882.489901995884,245184.01010022007,102865.99999884499,57414.000003299974,26978.5
2015-12-01,338732.50000370404,6663.0,46177.890294158366,283047.34823763126,2844.261471914403,329225.2385317896,141033.00000098598,86569.00000275004,38602.0
2016-01-01,279290.9999999999,7789.0,29681.366429360176,232425.26292274642,9395.37064789326,262106.6293521066,112679.99999999999,60358.999999999876,29476.0
2016-02-01,234617.99999999988,10714.0,26938.353901902286,187700.3758889902,9265.27020910737,214638.7297908925,84039.0,52427.999999999876,29292.0
2016-03-01,347084.00000000006,13101.0,42093.201652285024,279937.1310082227,11952.667339492295,322030.3326605077,123424.99999999993,102206.0000000001,41947.0
2016-04-01,248439.00000000006,11111.0,31457.47179890015,179987.44855123374,25883.07964986618,211444.9203501339,93881.0,69140.00000000004,26029.0
2016-05-01,257081.0,8734.0,37610.387675155805,186322.54007469612,24414.072250148045,223932.92774985192,103911.00000000006,70407.99999999993,27826.0
2016-06-01,268068.6562500002,638.0,24859.510249703373,201427.78503228453,41143.360968012275,226287.2952819879,108895.99999999999,69722.00000000019,43795.65625
2016-07-01,308371.75939849706,844.0,28163.193542538815,240849.04601599614,38515.519839962086,269012.23955853493,124427.00000000013,76313.00000000067,48287.759398496244
2016-08-01,309029.99999999977,11068.000000000002,27050.67049937707,231749.25722414703,39162.07227647565,258799.9277235241,116690.99999999996,98514.99999999978,28738.0
2016-09-01,215265.39883619457,0.0,23063.484658281475,163755.8236591186,28446.090518794503,186819.30831740008,88791.4878778981,58125.85420865275,18401.55389975113
2016-10-01,299690.0,2287.0,29048.841263950122,220072.42319832148,48281.73553772837,249121.26446227162,124722.00000000007,96001.99999999991,23976.0
2016-11-01,325923.0,15418.000000000002,28362.262112910383,223169.7184149884,58973.019472101216,251531.9805278988,131944.99999999997,97481.00000000003,24653.0
2016-12-01,403355.0218579234,22008.0,31274.392317531954,290026.79634816595,60045.83319222553,321301.18866569793,157646.00000000006,136230.9999999999,32782.0
2017-01-01,327088.2196146738,18286.0,24931.317669565644,234710.2902795033,49160.61166560488,259641.60794906894,122606.66828087177,92801.66437482914,26090.228880161605
2017-02-01,276842.8785826486,12864.999999999998,34044.50289199315,199673.7259587714,30259.649731884045,233718.22885076454,98130.78571428571,77164.85950996548,29573.60850213212
2017-03-01,339725.37321970536,11212.0,52776.852082649304,241667.62303095925,34068.89810609683,294444.4751136085,119552.99999999991,107972.60548985946,37271.804596466485
2017-04-01,398107.9311828097,20271.000000000004,74330.30830748436,303498.420662352,8.202212973302204,377828.7289698364,158561.00000000015,125586.54517158523,31491.811572381484
2017-05-01,280611.37535503623,5908.0,40394.49007625819,203347.29512013626,30961.590158641815,243741.78519639446,119427.0,79431.67984374179,25736.36152076469
2017-06-01,300218.7854,1460.0,50400.325757488914,197453.0822099452,50905.37743256585,247853.4079674341,114420.6188,72268.25700000007,44018.99999999999
2017-07-01,359006.57369999983,1543.0,49963.06031908006,241611.2126973434,65889.30068357637,291574.27301642345,118364.98860000001,77043.19889999973,49780.51640000001
2017-08-01,400119.0166000009,0.0,60497.434709143374,213796.1585063065,125825.42338455105,274293.5932154499,110072.13840000001,102847.1247999999,29911.117100000003
2017-09-01,244041.30469999992,4268.0,42641.876814498224,171054.72516479765,26076.702720704056,213696.60197929587,95650.98719999997,64445.82519999994,19986.5214
2017-10-01,274807.10442170204,12419.0,40453.371282511405,198602.29873742265,23332.43440176797,239055.67001993407,106457.77704425532,67446.72719999988,26330.175400000004
2017-11-01,316608.2421300007,15268.0,44775.18724583728,230918.22854347463,25646.826340688796,275693.4157893119,125104.00278000004,80668.71510000064,28914.489200000004
2017-12-01,404283.4961000003,25563.0,67631.27247431062,288478.22644721443,22610.99717847526,356109.4989215251,166993.87179999988,97424.55980000042,42068.00000000001
2018-01-01,356933.8923320003,29506.0,60116.56203201073,243702.65594225758,23608.674357732034,303819.2179742683,123905.75809999972,95762.21883200061,31991.0006
2018-02-01,287123.4266880002,16491.0,52182.441171194325,199484.55039930486,18965.435117500998,251666.9915704992,97064.97600000011,79855.4506880001,31251.0
2018-03-01,435063.99999999884,17604.0,93313.70644428782,299707.07651614444,24439.217039566593,393020.78296043223,154165.00000000017,142606.99999999866,46729.0
2018-04-01,390488.66023500025,19374.000000000004,71304.74477141058,236935.11658236143,62874.79888122823,308239.861353772,136188.55573500015,134110.20890000009,30017.0
2018-05-01,303919.7562999992,8936.0,60802.62468854963,216947.45742700968,17233.674184439893,277750.0821155593,117160.27039999994,88124.55399999923,30776.000000000004
2018-06-01,344009.8457930184,2020.0,71850.76816165136,239429.58234685956,30709.49528450747,311280.35050851095,139123.34949299495,95603.51250001922,50738.99999999694
2018-07-01,359320.84170000005,0.0,66172.50201592816,271128.0879316262,22020.251752445703,337300.58994755434,129712.20609499297,102110.00000000016,53705.99999999999
2018-08-01,378651.77360000083,743.0,86303.66742281895,266012.90431717265,25592.201860009263,352316.5717399916,138817.000000001,127364.00000000006,35057.999999999745
2018-09-01,288075.091731506,2149.0,62691.18207141552,210085.8863961228,13149.023263967652,272777.06846753834,124992.25397727192,79449.10168539287,22278.86899191812
2018-10-01,314775.24679066514,14864.000000000002,51116.4950558502,231055.7176419576,17739.034092857357,282172.2126978078,126015.00407599974,77101.54875716912,29262.571599989788
2018-11-01,346802.54537830804,17760.0,47214.20067736274,262473.4359836866,19354.908717258702,309687.6366610493,136864.60714200098,83397.20199744927,35031.71926839621
2018-12-01,451183.5759149496,20945.000000000004,61212.58592520828,332516.90538900363,36509.0846007377,393729.4913142119,185070.66548252347,104544.35558766701,49575.73960998194
2019-01-01,409070.1841228372,23513.0,77050.27010446237,280595.4797118794,27911.434306495445,357645.7498163418,158731.0,102985.0,35047.0
2019-02-01,322067.5757750438,13685.0,78983.35881905294,206367.54881284563,23031.668143145253,285350.9076318986,122687.0,84376.0,33992.0
